"tweets.id" "tweets.created" "tweets.text"
"74" "801514376985509891" 1479930893 "@aminajadeTV @UMichFootball @OhioStateFB @BigTenNetwork Looking fantastic Amina!!!"
"75" "801514121434955777" 1479930832 "Screw @OhioStateFB and @UMichFootball"
"76" "801511551446482952" 1479930219 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"77" "801511415328555008" 1479930187 "RT @MadeMan: Before @UMichFootball v. @OhioStateFB, @MichaelWeinreb channeled #JimHarbaugh. #milk #khakis #spongebob #enthusiasm https://t.…"
"78" "801511277394853888" 1479930154 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"79" "801510969402916878" 1479930081 "@KisersBBQ @CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn YES!!!  Find that comical"
"80" "801510387040579584" 1479929942 "@CFBPlayoff @cpietranton @UMichFootball @OhioStateFB @drpepper @espn best learn how to spell Columbus!"
"81" "801510365653827589" 1479929937 "U don’t have to be a fan of @OhioStateFB or @UMichFootball 2 understand the rivalry of the 2 schools is what makes college football GREAT"
"82" "801510337388441600" 1479929930 "\"The Game\" is almost here!
No. 3 @UMichFootball at No. 2 @OhioStateFB. This matchup won't disappoint. 
https://t.co/5AI6LIVfRT"
"83" "801510185965617153" 1479929894 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"84" "801509959200604161" 1479929840 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"85" "801509943048282112" 1479929836 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"86" "801509813112995840" 1479929805 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"87" "801508402639867905" 1479929469 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"88" "801508107729960961" 1479929398 "Before @UMichFootball v. @OhioStateFB, @MichaelWeinreb channeled #JimHarbaugh. #milk #khakis #spongebob #enthusiasm… https://t.co/kytvjDwSnD"
"89" "801506958566162432" 1479929124 "$565: the average resale ticket price on @Ticketmaster for @UMichFootball at @OhioStateFB this Saturday, per Ticketmaster #TheGame"
"90" "801506470848249856" 1479929008 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
"91" "801506220335136768" 1479928948 "RT @astockeyWTAE: Football this Saturday: @Pitt_FB @CuseFootball on @WTAE at 12:30pm @OhioStateFB @UMichFootball on @thistv and #espn2 at 1…"
"92" "801506005926281216" 1479928897 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB…"
